1|Dummy|41|485.00
2|Dummy|6334|526.00
3|Dummy|19169|739.00
4|Dummy|11478|387.00
5|Dummy|26962|488.00
6|Dummy|5705|173.00
7|Dummy|23281|843.00
8|Dummy|9961|491.00
9|Dummy|2995|953.00
10|Dummy|4827|441.00
11|Dummy|32391|618.00
12|Dummy|3902|153.00
13|Dummy|292|394.00
14|Dummy|17421|734.00
15|Dummy|19718|914.00
16|Dummy|5447|747.00
17|Dummy|14771|549.00
18|Dummy|1869|931.00
19|Dummy|25667|325.00
20|Dummy|17035|903.00
21|Dummy|28703|834.00
22|Dummy|31322|363.00
23|Dummy|17673|668.00
24|Dummy|15141|718.00
25|Dummy|28253|874.00
26|Dummy|25547|671.00
27|Dummy|32662|789.00
28|Dummy|20037|871.00
29|Dummy|8723|750.00
30|Dummy|27529|778.00
31|Dummy|12316|38.00
32|Dummy|22190|843.00
33|Dummy|288|136.00
34|Dummy|9040|950.00
35|Dummy|19264|670.00
36|Dummy|27446|828.00
37|Dummy|15890|735.00
38|Dummy|24370|365.00
39|Dummy|15006|132.00
40|Dummy|24393|551.00
41|Dummy|19629|635.00
42|Dummy|24084|973.00
43|Dummy|18756|851.00
44|Dummy|4966|383.00
45|Dummy|13931|334.00
46|Dummy|16944|471.00
47|Dummy|24626|334.00
48|Dummy|5537|559.00
49|Dummy|16118|84.00
50|Dummy|22929|557.00
51|Dummy|4833|146.00
52|Dummy|4639|687.00
53|Dummy|22704|939.00
54|Dummy|13977|308.00
55|Dummy|31673|408.00
56|Dummy|5021|773.00
57|Dummy|26924|91.00
58|Dummy|6270|834.00
59|Dummy|26777|588.00
60|Dummy|5097|528.00
61|Dummy|23986|303.00
62|Dummy|9161|654.00
63|Dummy|22355|791.00
64|Dummy|23655|589.00
65|Dummy|4031|64.00
66|Dummy|27350|151.00
67|Dummy|16941|745.00
68|Dummy|13966|433.00
69|Dummy|31107|221.00
70|Dummy|18007|348.00
71|Dummy|15457|299.00
72|Dummy|27753|393.00
73|Dummy|14945|917.00
74|Dummy|32209|767.00
75|Dummy|24221|606.00
76|Dummy|6422|970.00
77|Dummy|27506|43.00
78|Dummy|16413|197.00
79|Dummy|900|623.00
80|Dummy|18762|656.00
81|Dummy|17410|365.00
82|Dummy|27624|557.00
83|Dummy|21548|489.00
84|Dummy|27595|45.00
85|Dummy|3602|374.00
86|Dummy|10291|866.00
87|Dummy|9374|31.00
88|Dummy|4596|45.00
89|Dummy|27348|222.00
90|Dummy|19668|508.00
91|Dummy|8281|738.00
92|Dummy|53|1.00
93|Dummy|26418|965.00
94|Dummy|6900|791.00
95|Dummy|18127|467.00
96|Dummy|3728|907.00
97|Dummy|24648|505.00
98|Dummy|17807|423.00
99|Dummy|14310|623.00
100|Dummy|22813|523.00
101|Dummy|14309|623.00
102|Dummy|18935|468.00
103|Dummy|20600|254.00
104|Dummy|16519|587.00
105|Dummy|22798|333.00
106|Dummy|6224|19.00
107|Dummy|5844|641.00
108|Dummy|14989|734.00
109|Dummy|3195|505.00
110|Dummy|3093|357.00
111|Dummy|30523|588.00
112|Dummy|29314|512.00
113|Dummy|7448|225.00
114|Dummy|13458|624.00
115|Dummy|20580|815.00
116|Dummy|14798|296.00
117|Dummy|19589|818.00
118|Dummy|28009|184.00
119|Dummy|20472|645.00
120|Dummy|18538|304.00
121|Dummy|6038|203.00
122|Dummy|18190|686.00
123|Dummy|7958|197.00
124|Dummy|19815|910.00
125|Dummy|19156|522.00
126|Dummy|16202|636.00
127|Dummy|24272|75.00
128|Dummy|20328|668.00
129|Dummy|26362|890.00
130|Dummy|18875|461.00
131|Dummy|29869|162.00
132|Dummy|23844|417.00
133|Dummy|21881|30.00
134|Dummy|10322|669.00
